COD_VENDEDOR,COD_PRODUTO,QUANTIDADE,DATA,VALOR_TOTAL,COD_LOJA
9,1,1,2023-01-03,97.10624630122031,4
9,2,2,2023-01-03,102.4693501734454,4
10,1,1,2023-01-03,97.10624630122031,4
10,2,10,2023-01-03,512.346750867227,4
1,1,2,2023-01-04,194.21249260244062,2
1,2,9,2023-01-04,461.1120757805043,2
2,1,1,2023-01-04,97.10624630122031,3
2,2,4,2023-01-04,204.9387003468908,3
3,1,4,2023-01-04,388.42498520488124,4
3,2,3,2023-01-04,153.70402526016812,4
4,1,6,2023-01-04,582.6374778073218,5
4,2,4,2023-01-04,204.9387003468908,5
5,1,7,2023-01-04,679.7437241085422,1
5,2,9,2023-01-04,461.1120757805043,1
6,1,4,2023-01-04,388.42498520488124,2
6,2,4,2023-01-04,204.9387003468908,2
7,1,3,2023-01-04,291.3187389036609,1
7,2,5,2023-01-04,256.1733754336135,1
8,1,7,2023-01-04,679.7437241085422,5
8,2,3,2023-01-04,153.70402526016812,5
9,1,2,2023-01-04,194.21249260244062,4
9,2,7,2023-01-04,358.64272560705894,4
10,1,8,2023-01-04,776.8499704097625,4
10,2,2,2023-01-04,102.4693501734454,4
1,1,6,2023-01-05,582.6374778073218,2
1,2,2,2023-01-05,102.4693501734454,2
2,1,8,2023-01-05,776.8499704097625,3
2,2,1,2023-01-05,51.2346750867227,3
3,1,4,2023-01-05,388.42498520488124,4
3,2,4,2023-01-05,204.9387003468908,4
4,1,1,2023-01-05,97.10624630122031,5
4,2,3,2023-01-05,153.70402526016812,5
5,1,1,2023-01-05,97.10624630122031,1
5,2,10,2023-01-05,512.346750867227,1
6,1,7,2023-01-05,679.7437241085422,2
6,2,7,2023-01-05,358.64272560705894,2
7,1,4,2023-01-05,388.42498520488124,1
7,2,5,2023-01-05,256.1733754336135,1
8,1,7,2023-01-05,679.7437241085422,5
8,2,6,2023-01-05,307.40805052033625,5
9,1,3,2023-01-05,291.3187389036609,4
9,2,6,2023-01-05,307.40805052033625,4
10,1,2,2023-01-05,194.21249260244062,4
10,2,1,2023-01-05,51.2346750867227,4
1,1,1,2023-01-06,97.10624630122031,2
1,2,8,2023-01-06,409.8774006937816,2
2,1,10,2023-01-06,971.0624630122031,3
2,2,3,2023-01-06,153.70402526016812,3
3,1,8,2023-01-06,776.8499704097625,4
3,2,5,2023-01-06,256.1733754336135,4
4,1,10,2023-01-06,971.0624630122031,5
4,2,8,2023-01-06,409.8774006937816,5
5,1,4,2023-01-06,388.42498520488124,1
5,2,3,2023-01-06,153.70402526016812,1
6,1,1,2023-01-06,97.10624630122031,2
6,2,6,2023-01-06,307.40805052033625,2
7,1,1,2023-01-06,97.10624630122031,1
7,2,10,2023-01-06,512.346750867227,1
8,1,1,2023-01-06,97.10624630122031,5
8,2,5,2023-01-06,256.1733754336135,5
9,1,5,2023-01-06,485.53123150610156,4
9,2,1,2023-01-06,51.2346750867227,4
10,1,2,2023-01-06,194.21249260244062,4
10,2,3,2023-01-06,153.70402526016812,4
1,1,10,2023-01-07,971.0624630122031,2
1,2,8,2023-01-07,409.8774006937816,2
2,1,8,2023-01-07,776.8499704097625,3
2,2,4,2023-01-07,204.9387003468908,3
3,1,10,2023-01-07,971.0624630122031,4
3,2,4,2023-01-07,204.9387003468908,4
4,1,10,2023-01-07,971.0624630122031,5
4,2,10,2023-01-07,512.346750867227,5
5,1,8,2023-01-07,776.8499704097625,1
5,2,4,2023-01-07,204.9387003468908,1
6,1,2,2023-01-07,194.21249260244062,2
6,2,1,2023-01-07,51.2346750867227,2
7,1,3,2023-01-07,291.3187389036609,1
7,2,3,2023-01-07,153.70402526016812,1
8,1,9,2023-01-07,873.9562167109827,5
8,2,5,2023-01-07,256.1733754336135,5
9,1,2,2023-01-07,194.21249260244062,4
9,2,6,2023-01-07,307.40805052033625,4
10,1,2,2023-01-07,194.21249260244062,4
10,2,2,2023-01-07,102.4693501734454,4
1,1,3,2023-01-08,291.3187389036609,2
1,2,8,2023-01-08,409.8774006937816,2
2,1,3,2023-01-08,291.3187389036609,3
2,2,1,2023-01-08,51.2346750867227,3
3,1,10,2023-01-08,971.0624630122031,4
3,2,3,2023-01-08,153.70402526016812,4
4,1,8,2023-01-08,776.8499704097625,5
4,2,2,2023-01-08,102.4693501734454,5
5,1,6,2023-01-08,582.6374778073218,1
5,2,1,2023-01-08,51.2346750867227,1
6,1,2,2023-01-08,194.21249260244062,2
6,2,1,2023-01-08,51.2346750867227,2
7,1,5,2023-01-08,485.53123150610156,1
7,2,9,2023-01-08,461.1120757805043,1
8,1,2,2023-01-08,194.21249260244062,5
8,2,8,2023-01-08,409.8774006937816,5
9,1,3,2023-01-08,291.3187389036609,4
9,2,9,2023-01-08,461.1120757805043,4
10,1,6,2023-01-08,582.6374778073218,4
10,2,9,2023-01-08,461.1120757805043,4
1,1,5,2023-01-09,485.53123150610156,2
1,2,5,2023-01-09,256.1733754336135,2
2,1,5,2023-01-09,485.53123150610156,3
2,2,8,2023-01-09,409.8774006937816,3
3,1,10,2023-01-09,971.0624630122031,4
3,2,1,2023-01-09,51.2346750867227,4
4,1,5,2023-01-09,485.53123150610156,5
4,2,3,2023-01-09,153.70402526016812,5
5,1,10,2023-01-09,971.0624630122031,1
5,2,3,2023-01-09,153.70402526016812,1
6,1,4,2023-01-09,388.42498520488124,2
6,2,4,2023-01-09,204.9387003468908,2
7,1,1,2023-01-09,97.10624630122031,1
7,2,3,2023-01-09,153.70402526016812,1
8,1,3,2023-01-09,291.3187389036609,5
8,2,2,2023-01-09,102.4693501734454,5
9,1,3,2023-01-09,291.3187389036609,4
9,2,6,2023-01-09,307.40805052033625,4
10,1,9,2023-01-09,873.9562167109827,4
10,2,3,2023-01-09,153.70402526016812,4
1,1,5,2023-01-10,485.53123150610156,2
1,2,7,2023-01-10,358.64272560705894,2
2,1,8,2023-01-10,776.8499704097625,3
2,2,10,2023-01-10,512.346750867227,3
3,1,5,2023-01-10,485.53123150610156,4
3,2,3,2023-01-10,153.70402526016812,4
4,1,5,2023-01-10,485.53123150610156,5
4,2,10,2023-01-10,512.346750867227,5
5,1,10,2023-01-10,971.0624630122031,1
5,2,8,2023-01-10,409.8774006937816,1
6,1,5,2023-01-10,485.53123150610156,2
6,2,7,2023-01-10,358.64272560705894,2
7,1,1,2023-01-10,97.10624630122031,1
7,2,9,2023-01-10,461.1120757805043,1
8,1,5,2023-01-10,485.53123150610156,5
8,2,10,2023-01-10,512.346750867227,5
9,1,6,2023-01-10,582.6374778073218,4
9,2,8,2023-01-10,409.8774006937816,4
10,1,10,2023-01-10,971.0624630122031,4
10,2,5,2023-01-10,256.1733754336135,4
1,1,6,2023-01-11,582.6374778073218,2
1,2,4,2023-01-11,204.9387003468908,2
2,1,8,2023-01-11,776.8499704097625,3
2,2,2,2023-01-11,102.4693501734454,3
3,1,1,2023-01-11,97.10624630122031,4
3,2,9,2023-01-11,461.1120757805043,4
4,1,2,2023-01-11,194.21249260244062,5
4,2,8,2023-01-11,409.8774006937816,5
5,1,1,2023-01-11,97.10624630122031,1
5,2,3,2023-01-11,153.70402526016812,1
6,1,9,2023-01-11,873.9562167109827,2
6,2,1,2023-01-11,51.2346750867227,2
7,1,9,2023-01-11,873.9562167109827,1
7,2,7,2023-01-11,358.64272560705894,1
8,1,6,2023-01-11,582.6374778073218,5
8,2,1,2023-01-11,51.2346750867227,5
9,1,6,2023-01-11,582.6374778073218,4
9,2,3,2023-01-11,153.70402526016812,4
10,1,6,2023-01-11,582.6374778073218,4
10,2,6,2023-01-11,307.40805052033625,4
1,1,9,2023-01-12,873.9562167109827,2
1,2,4,2023-01-12,204.9387003468908,2
2,1,3,2023-01-12,291.3187389036609,3
2,2,7,2023-01-12,358.64272560705894,3
3,1,2,2023-01-12,194.21249260244062,4
3,2,7,2023-01-12,358.64272560705894,4
4,1,5,2023-01-12,485.53123150610156,5
4,2,4,2023-01-12,204.9387003468908,5
5,1,2,2023-01-12,194.21249260244062,1
5,2,1,2023-01-12,51.2346750867227,1
6,1,8,2023-01-12,776.8499704097625,2
6,2,2,2023-01-12,102.4693501734454,2
7,1,5,2023-01-12,485.53123150610156,1
7,2,9,2023-01-12,461.1120757805043,1
8,1,9,2023-01-12,873.9562167109827,5
8,2,2,2023-01-12,102.4693501734454,5
9,1,10,2023-01-12,971.0624630122031,4
9,2,7,2023-01-12,358.64272560705894,4
10,1,5,2023-01-12,485.53123150610156,4
10,2,5,2023-01-12,256.1733754336135,4
1,1,6,2023-01-13,582.6374778073218,2
1,2,1,2023-01-13,51.2346750867227,2
2,1,7,2023-01-13,679.7437241085422,3
2,2,9,2023-01-13,461.1120757805043,3
3,1,4,2023-01-13,388.42498520488124,4
3,2,10,2023-01-13,512.346750867227,4
4,1,8,2023-01-13,776.8499704097625,5
4,2,4,2023-01-13,204.9387003468908,5
5,1,3,2023-01-13,291.3187389036609,1
5,2,5,2023-01-13,256.1733754336135,1
6,1,3,2023-01-13,291.3187389036609,2
6,2,8,2023-01-13,409.8774006937816,2
7,1,9,2023-01-13,873.9562167109827,1
7,2,8,2023-01-13,409.8774006937816,1
8,1,2,2023-01-13,194.21249260244062,5
8,2,2,2023-01-13,102.4693501734454,5
9,1,1,2023-01-13,97.10624630122031,4
9,2,8,2023-01-13,409.8774006937816,4
10,1,8,2023-01-13,776.8499704097625,4
10,2,10,2023-01-13,512.346750867227,4
1,1,7,2023-01-14,679.7437241085422,2
1,2,4,2023-01-14,204.9387003468908,2
2,1,1,2023-01-14,97.10624630122031,3
2,2,9,2023-01-14,461.1120757805043,3
3,1,1,2023-01-14,97.10624630122031,4
3,2,10,2023-01-14,512.346750867227,4
4,1,10,2023-01-14,971.0624630122031,5
4,2,6,2023-01-14,307.40805052033625,5
5,1,7,2023-01-14,679.7437241085422,1
5,2,10,2023-01-14,512.346750867227,1
6,1,4,2023-01-14,388.42498520488124,2
6,2,3,2023-01-14,153.70402526016812,2
7,1,4,2023-01-14,388.42498520488124,1
7,2,7,2023-01-14,358.64272560705894,1
8,1,7,2023-01-14,679.7437241085422,5
8,2,8,2023-01-14,409.8774006937816,5
9,1,7,2023-01-14,679.7437241085422,4
9,2,6,2023-01-14,307.40805052033625,4
10,1,8,2023-01-14,776.8499704097625,4
10,2,9,2023-01-14,461.1120757805043,4
1,1,2,2023-01-15,194.21249260244062,2
1,2,3,2023-01-15,153.70402526016812,2
2,1,6,2023-01-15,582.6374778073218,3
2,2,1,2023-01-15,51.2346750867227,3
3,1,7,2023-01-15,679.7437241085422,4
3,2,10,2023-01-15,512.346750867227,4
4,1,4,2023-01-15,388.42498520488124,5
4,2,9,2023-01-15,461.1120757805043,5
5,1,2,2023-01-15,194.21249260244062,1
5,2,9,2023-01-15,461.1120757805043,1
6,1,5,2023-01-15,485.53123150610156,2
6,2,4,2023-01-15,204.9387003468908,2
7,1,3,2023-01-15,291.3187389036609,1
7,2,6,2023-01-15,307.40805052033625,1
8,1,4,2023-01-15,388.42498520488124,5
8,2,9,2023-01-15,461.1120757805043,5
9,1,9,2023-01-15,873.9562167109827,4
9,2,7,2023-01-15,358.64272560705894,4
10,1,6,2023-01-15,582.6374778073218,4
10,2,6,2023-01-15,307.40805052033625,4
1,1,5,2023-01-16,485.53123150610156,2
1,2,2,2023-01-16,102.4693501734454,2
2,1,5,2023-01-16,485.53123150610156,3
2,2,4,2023-01-16,204.9387003468908,3
3,1,10,2023-01-16,971.0624630122031,4
3,2,2,2023-01-16,102.4693501734454,4
4,1,7,2023-01-16,679.7437241085422,5
4,2,2,2023-01-16,102.4693501734454,5
5,1,6,2023-01-16,582.6374778073218,1
5,2,5,2023-01-16,256.1733754336135,1
6,1,5,2023-01-16,485.53123150610156,2
6,2,2,2023-01-16,102.4693501734454,2
7,1,7,2023-01-16,679.7437241085422,1
7,2,7,2023-01-16,358.64272560705894,1
8,1,4,2023-01-16,388.42498520488124,5
8,2,4,2023-01-16,204.9387003468908,5
9,1,5,2023-01-16,485.53123150610156,4
9,2,3,2023-01-16,153.70402526016812,4
10,1,4,2023-01-16,388.42498520488124,4
10,2,9,2023-01-16,461.1120757805043,4
1,1,1,2023-01-17,97.10624630122031,2
1,2,1,2023-01-17,51.2346750867227,2
2,1,3,2023-01-17,291.3187389036609,3
2,2,8,2023-01-17,409.8774006937816,3
3,1,9,2023-01-17,873.9562167109827,4
3,2,1,2023-01-17,51.2346750867227,4
4,1,7,2023-01-17,679.7437241085422,5
4,2,4,2023-01-17,204.9387003468908,5
5,1,6,2023-01-17,582.6374778073218,1
5,2,6,2023-01-17,307.40805052033625,1
6,1,6,2023-01-17,582.6374778073218,2
6,2,8,2023-01-17,409.8774006937816,2
7,1,9,2023-01-17,873.9562167109827,1
7,2,3,2023-01-17,153.70402526016812,1
8,1,3,2023-01-17,291.3187389036609,5
8,2,7,2023-01-17,358.64272560705894,5
9,1,6,2023-01-17,582.6374778073218,4
9,2,4,2023-01-17,204.9387003468908,4
10,1,7,2023-01-17,679.7437241085422,4
10,2,10,2023-01-17,512.346750867227,4
1,1,5,2023-01-18,485.53123150610156,2
1,2,3,2023-01-18,153.70402526016812,2
2,1,4,2023-01-18,388.42498520488124,3
2,2,10,2023-01-18,512.346750867227,3
3,1,3,2023-01-18,291.3187389036609,4
3,2,1,2023-01-18,51.2346750867227,4
4,1,8,2023-01-18,776.8499704097625,5
4,2,6,2023-01-18,307.40805052033625,5
5,1,6,2023-01-18,582.6374778073218,1
5,2,6,2023-01-18,307.40805052033625,1
6,1,10,2023-01-18,971.0624630122031,2
6,2,10,2023-01-18,512.346750867227,2
7,1,2,2023-01-18,194.21249260244062,1
7,2,3,2023-01-18,153.70402526016812,1
8,1,4,2023-01-18,388.42498520488124,5
8,2,10,2023-01-18,512.346750867227,5
9,1,9,2023-01-18,873.9562167109827,4
9,2,4,2023-01-18,204.9387003468908,4
10,1,6,2023-01-18,582.6374778073218,4
10,2,9,2023-01-18,461.1120757805043,4
1,1,2,2023-01-19,194.21249260244062,2
1,2,2,2023-01-19,102.4693501734454,2
2,1,3,2023-01-19,291.3187389036609,3
2,2,8,2023-01-19,409.8774006937816,3
3,1,4,2023-01-19,388.42498520488124,4
3,2,2,2023-01-19,102.4693501734454,4
4,1,2,2023-01-19,194.21249260244062,5
4,2,2,2023-01-19,102.4693501734454,5
5,1,9,2023-01-19,873.9562167109827,1
5,2,6,2023-01-19,307.40805052033625,1
6,1,9,2023-01-19,873.9562167109827,2
6,2,8,2023-01-19,409.8774006937816,2
7,1,8,2023-01-19,776.8499704097625,1
7,2,1,2023-01-19,51.2346750867227,1
8,1,6,2023-01-19,582.6374778073218,5
8,2,10,2023-01-19,512.346750867227,5
9,1,2,2023-01-19,194.21249260244062,4
9,2,2,2023-01-19,102.4693501734454,4
10,1,10,2023-01-19,971.0624630122031,4
10,2,5,2023-01-19,256.1733754336135,4
1,1,6,2023-01-20,582.6374778073218,2
1,2,3,2023-01-20,153.70402526016812,2
2,1,9,2023-01-20,873.9562167109827,3
2,2,6,2023-01-20,307.40805052033625,3
3,1,8,2023-01-20,776.8499704097625,4
3,2,9,2023-01-20,461.1120757805043,4
4,1,1,2023-01-20,97.10624630122031,5
4,2,3,2023-01-20,153.70402526016812,5
5,1,10,2023-01-20,971.0624630122031,1
5,2,8,2023-01-20,409.8774006937816,1
6,1,7,2023-01-20,679.7437241085422,2
6,2,6,2023-01-20,307.40805052033625,2
7,1,10,2023-01-20,971.0624630122031,1
7,2,10,2023-01-20,512.346750867227,1
8,1,5,2023-01-20,485.53123150610156,5
8,2,3,2023-01-20,153.70402526016812,5
9,1,8,2023-01-20,776.8499704097625,4
9,2,10,2023-01-20,512.346750867227,4
10,1,8,2023-01-20,776.8499704097625,4
10,2,8,2023-01-20,409.8774006937816,4
1,1,8,2023-01-21,776.8499704097625,2
1,2,9,2023-01-21,461.1120757805043,2
2,1,5,2023-01-21,485.53123150610156,3
2,2,7,2023-01-21,358.64272560705894,3
3,1,6,2023-01-21,582.6374778073218,4
3,2,3,2023-01-21,153.70402526016812,4
4,1,2,2023-01-21,194.21249260244062,5
4,2,3,2023-01-21,153.70402526016812,5
5,1,7,2023-01-21,679.7437241085422,1
5,2,3,2023-01-21,153.70402526016812,1
6,1,4,2023-01-21,388.42498520488124,2
6,2,2,2023-01-21,102.4693501734454,2
7,1,5,2023-01-21,485.53123150610156,1
7,2,5,2023-01-21,256.1733754336135,1
8,1,6,2023-01-21,582.6374778073218,5
8,2,6,2023-01-21,307.40805052033625,5
9,1,4,2023-01-21,388.42498520488124,4
9,2,3,2023-01-21,153.70402526016812,4
10,1,6,2023-01-21,582.6374778073218,4
10,2,2,2023-01-21,102.4693501734454,4
1,1,9,2023-01-22,873.9562167109827,2
1,2,9,2023-01-22,461.1120757805043,2
2,1,1,2023-01-22,97.10624630122031,3
2,2,2,2023-01-22,102.4693501734454,3
3,1,5,2023-01-22,485.53123150610156,4
3,2,5,2023-01-22,256.1733754336135,4
4,1,8,2023-01-22,776.8499704097625,5
4,2,8,2023-01-22,409.8774006937816,5
5,1,5,2023-01-22,485.53123150610156,1
5,2,2,2023-01-22,102.4693501734454,1
6,1,4,2023-01-22,388.42498520488124,2
6,2,2,2023-01-22,102.4693501734454,2
7,1,1,2023-01-22,97.10624630122031,1
7,2,2,2023-01-22,102.4693501734454,1
8,1,7,2023-01-22,679.7437241085422,5
8,2,4,2023-01-22,204.9387003468908,5
9,1,2,2023-01-22,194.21249260244062,4
9,2,5,2023-01-22,256.1733754336135,4
10,1,4,2023-01-22,388.42498520488124,4
10,2,9,2023-01-22,461.1120757805043,4
1,1,6,2023-01-23,582.6374778073218,2
1,2,1,2023-01-23,51.2346750867227,2
2,1,6,2023-01-23,582.6374778073218,3
2,2,8,2023-01-23,409.8774006937816,3
3,1,3,2023-01-23,291.3187389036609,4
3,2,3,2023-01-23,153.70402526016812,4
4,1,1,2023-01-23,97.10624630122031,5
4,2,1,2023-01-23,51.2346750867227,5
5,1,3,2023-01-23,291.3187389036609,1
5,2,7,2023-01-23,358.64272560705894,1
6,1,8,2023-01-23,776.8499704097625,2
6,2,9,2023-01-23,461.1120757805043,2
7,1,9,2023-01-23,873.9562167109827,1
7,2,7,2023-01-23,358.64272560705894,1
8,1,8,2023-01-23,776.8499704097625,5
8,2,4,2023-01-23,204.9387003468908,5
9,1,4,2023-01-23,388.42498520488124,4
9,2,7,2023-01-23,358.64272560705894,4
10,1,1,2023-01-23,97.10624630122031,4
10,2,9,2023-01-23,461.1120757805043,4
1,1,4,2023-01-24,388.42498520488124,2
1,2,3,2023-01-24,153.70402526016812,2
2,1,7,2023-01-24,679.7437241085422,3
2,2,6,2023-01-24,307.40805052033625,3
3,1,1,2023-01-24,97.10624630122031,4
3,2,1,2023-01-24,51.2346750867227,4
4,1,2,2023-01-24,194.21249260244062,5
4,2,4,2023-01-24,204.9387003468908,5
5,1,3,2023-01-24,291.3187389036609,1
5,2,10,2023-01-24,512.346750867227,1
6,1,8,2023-01-24,776.8499704097625,2
6,2,8,2023-01-24,409.8774006937816,2
7,1,2,2023-01-24,194.21249260244062,1
7,2,4,2023-01-24,204.9387003468908,1
8,1,9,2023-01-24,873.9562167109827,5
8,2,2,2023-01-24,102.4693501734454,5
9,1,6,2023-01-24,582.6374778073218,4
9,2,2,2023-01-24,102.4693501734454,4
10,1,7,2023-01-24,679.7437241085422,4
10,2,7,2023-01-24,358.64272560705894,4
1,1,9,2023-01-25,873.9562167109827,2
1,2,4,2023-01-25,204.9387003468908,2
2,1,8,2023-01-25,776.8499704097625,3
2,2,10,2023-01-25,512.346750867227,3
3,1,7,2023-01-25,679.7437241085422,4
3,2,5,2023-01-25,256.1733754336135,4
4,1,2,2023-01-25,194.21249260244062,5
4,2,1,2023-01-25,51.2346750867227,5
5,1,5,2023-01-25,485.53123150610156,1
5,2,5,2023-01-25,256.1733754336135,1
6,1,9,2023-01-25,873.9562167109827,2
6,2,10,2023-01-25,512.346750867227,2
7,1,9,2023-01-25,873.9562167109827,1
7,2,2,2023-01-25,102.4693501734454,1
8,1,9,2023-01-25,873.9562167109827,5
8,2,4,2023-01-25,204.9387003468908,5
9,1,8,2023-01-25,776.8499704097625,4
9,2,5,2023-01-25,256.1733754336135,4
10,1,6,2023-01-25,582.6374778073218,4
10,2,3,2023-01-25,153.70402526016812,4
1,1,4,2023-01-26,388.42498520488124,2
1,2,7,2023-01-26,358.64272560705894,2
2,1,9,2023-01-26,873.9562167109827,3
2,2,10,2023-01-26,512.346750867227,3
3,1,3,2023-01-26,291.3187389036609,4
3,2,10,2023-01-26,512.346750867227,4
4,1,2,2023-01-26,194.21249260244062,5
4,2,7,2023-01-26,358.64272560705894,5
5,1,1,2023-01-26,97.10624630122031,1
5,2,10,2023-01-26,512.346750867227,1
6,1,6,2023-01-26,582.6374778073218,2
6,2,6,2023-01-26,307.40805052033625,2
7,1,3,2023-01-26,291.3187389036609,1
7,2,7,2023-01-26,358.64272560705894,1
8,1,7,2023-01-26,679.7437241085422,5
8,2,9,2023-01-26,461.1120757805043,5
9,1,3,2023-01-26,291.3187389036609,4
9,2,8,2023-01-26,409.8774006937816,4
10,1,9,2023-01-26,873.9562167109827,4
10,2,7,2023-01-26,358.64272560705894,4
1,1,9,2023-01-27,873.9562167109827,2
1,2,8,2023-01-27,409.8774006937816,2
2,1,8,2023-01-27,776.8499704097625,3
2,2,10,2023-01-27,512.346750867227,3
3,1,9,2023-01-27,873.9562167109827,4
3,2,7,2023-01-27,358.64272560705894,4
4,1,8,2023-01-27,776.8499704097625,5
4,2,9,2023-01-27,461.1120757805043,5
5,1,2,2023-01-27,194.21249260244062,1
5,2,4,2023-01-27,204.9387003468908,1
6,1,8,2023-01-27,776.8499704097625,2
6,2,4,2023-01-27,204.9387003468908,2
7,1,4,2023-01-27,388.42498520488124,1
7,2,3,2023-01-27,153.70402526016812,1
8,1,9,2023-01-27,873.9562167109827,5
8,2,3,2023-01-27,153.70402526016812,5
9,1,1,2023-01-27,97.10624630122031,4
9,2,5,2023-01-27,256.1733754336135,4
10,1,3,2023-01-27,291.3187389036609,4
10,2,5,2023-01-27,256.1733754336135,4
1,1,1,2023-01-28,97.10624630122031,2
1,2,8,2023-01-28,409.8774006937816,2
2,1,2,2023-01-28,194.21249260244062,3
2,2,1,2023-01-28,51.2346750867227,3
3,1,4,2023-01-28,388.42498520488124,4
3,2,3,2023-01-28,153.70402526016812,4
4,1,7,2023-01-28,679.7437241085422,5
4,2,5,2023-01-28,256.1733754336135,5
5,1,1,2023-01-28,97.10624630122031,1
5,2,8,2023-01-28,409.8774006937816,1
6,1,6,2023-01-28,582.6374778073218,2
6,2,4,2023-01-28,204.9387003468908,2
7,1,8,2023-01-28,776.8499704097625,1
7,2,3,2023-01-28,153.70402526016812,1
8,1,1,2023-01-28,97.10624630122031,5
8,2,3,2023-01-28,153.70402526016812,5
9,1,9,2023-01-28,873.9562167109827,4
9,2,4,2023-01-28,204.9387003468908,4
10,1,1,2023-01-28,97.10624630122031,4
10,2,6,2023-01-28,307.40805052033625,4
1,1,2,2023-01-29,194.21249260244062,2
1,2,7,2023-01-29,358.64272560705894,2
2,1,9,2023-01-29,873.9562167109827,3
2,2,6,2023-01-29,307.40805052033625,3
3,1,6,2023-01-29,582.6374778073218,4
3,2,4,2023-01-29,204.9387003468908,4
4,1,9,2023-01-29,873.9562167109827,5
4,2,10,2023-01-29,512.346750867227,5
5,1,6,2023-01-29,582.6374778073218,1
5,2,5,2023-01-29,256.1733754336135,1
6,1,10,2023-01-29,971.0624630122031,2
6,2,6,2023-01-29,307.40805052033625,2
7,1,5,2023-01-29,485.53123150610156,1
7,2,7,2023-01-29,358.64272560705894,1
8,1,1,2023-01-29,97.10624630122031,5
8,2,10,2023-01-29,512.346750867227,5
9,1,7,2023-01-29,679.7437241085422,4
9,2,3,2023-01-29,153.70402526016812,4
10,1,10,2023-01-29,971.0624630122031,4
10,2,7,2023-01-29,358.64272560705894,4
1,1,8,2023-01-30,776.8499704097625,2
1,2,7,2023-01-30,358.64272560705894,2
2,1,6,2023-01-30,582.6374778073218,3
2,2,9,2023-01-30,461.1120757805043,3
3,1,2,2023-01-30,194.21249260244062,4
3,2,4,2023-01-30,204.9387003468908,4
4,1,7,2023-01-30,679.7437241085422,5
4,2,4,2023-01-30,204.9387003468908,5
5,1,9,2023-01-30,873.9562167109827,1
5,2,8,2023-01-30,409.8774006937816,1
6,1,3,2023-01-30,291.3187389036609,2
6,2,7,2023-01-30,358.64272560705894,2
7,1,2,2023-01-30,194.21249260244062,1
7,2,4,2023-01-30,204.9387003468908,1
8,1,6,2023-01-30,582.6374778073218,5
8,2,6,2023-01-30,307.40805052033625,5
9,1,7,2023-01-30,679.7437241085422,4
9,2,8,2023-01-30,409.8774006937816,4
10,1,6,2023-01-30,582.6374778073218,4
10,2,8,2023-01-30,409.8774006937816,4
1,1,6,2023-01-31,582.6374778073218,2
1,2,8,2023-01-31,409.8774006937816,2
2,1,10,2023-01-31,971.0624630122031,3
2,2,9,2023-01-31,461.1120757805043,3
3,1,3,2023-01-31,291.3187389036609,4
